ID,Country/ region,Region,Est 2009 muslim pop,% of pop that is muslim,% of world muslim pop,Source and year,SOURCE:
155,Hungary ,Europe ,"24,000",0.2,<0.1 ,WRD 2005 ,
156,Iceland ,Europe ,--,0.1,<0.1 ,WRD 2005 ,
157,Ireland ,Europe ,"22,000",0.5,<0.1 ,Census 2002 ,
158,Isle of Man ,Europe ,--,0.2,<0.1 ,WRD 2005 ,
159,Italy ,Europe ,"36,000",1,<1 ,ESS 2004 ,
160,Kosovo ,Europe ,"1,999,000",89.6,0.1,WRD 2005 ,
161,Latvia ,Europe ,"2,000",1,<1 ,WVS 1999 ,
162,Liechtenstein ,Europe ,"2,000",4.8,<0.1 ,Census 2000 ,
163,Lithuania ,Europe ,"3,000",0.1,<0.1 ,Census 2001 ,
164,Luxembourg ,Europe ,"13,000",3,<1 ,ESS 2004 ,
165,Malta ,Europe ,"1,000",0.2,<0.1 ,WRD 2005 ,
166,Moldova ,Europe ,"17,000",0.5,<0.1 ,WRD 2005 ,
167,Monaco ,Europe ,--,0.4,<0.1 ,WRD 2005 ,
168,Montenegro ,Europe ,"111,000",17.7,<0.1 ,Census 2003 ,
169,Netherlands ,Europe ,"946,000",5.7,0.1,Census 2003 ,
170,Norway ,Europe ,"65,000",1,<1 ,ESS 2006 ,
171,Poland ,Europe ,"48,000",1,<1 ,ESS 2006 ,
172,Portugal ,Europe ,"15,000",0.1,<0.1 ,Census 2001 ,
173,Republic of Macedonia ,Europe ,"680,000",33.3,<0.1 ,Census 2002 ,
174,Romania ,Europe ,"66,000",0.3,<0.1 ,Census 2002 ,
175,Russia ,Europe ,"16,482,000",11.7,1,Census 2002 (ethnicity data) ,
176,San Marino ,Europe ,--,0,--,WRD 2005 ,
177,Serbia ,Europe ,"244,000",3.2,<0.1 ,Census 2002 ,
178,Slovakia ,Europe ,--,0,<0.1 ,Census 2001 ,
179,Slovenia ,Europe ,"49,000",2.4,<0.1 ,Census 2002 ,
180,Spain ,Europe ,"650,000",1,<1 ,ESS 2006 ,
181,Sweden ,Europe ,"149,000",2,<1 ,ESS 2006 ,
182,Switzerland ,Europe ,"323,000",4.3,<0.1 ,Census 2000 ,
183,Ukraine ,Europe ,"456,000",1,<0.1 ,DHS 2007 ,
184,United Kingdom ,Europe ,"1,647,000",2.7,0.1,Census 2001 ,
185,Vatican City ,Europe ,--,0,--,WRD 2005 ,
186,Americas ,Americas ,"4,596,000",0,0.30%, ,
187,Anguilla ,Americas ,--,0.3,<0.1 ,Census 2001 ,
188,Antigua and Barbuda ,Americas ,--,0.6,<0.1 ,WRD 2005 ,
189,Argentina ,Americas ,"784,000",1.9,0.1,WRD 2005 ,
190,Aruba ,Americas ,--,0.2,<0.1 ,WRD 2005 ,
191,Bahamas ,Americas ,--,0.1,<0.1 ,Census 2000 ,
192,Barbados ,Americas ,"2,000",0.8,<0.1 ,WRD 2005 ,
193,Belize ,Americas ,--,0.1,<0.1 ,Census 2000 ,
194,Bermuda ,Americas ,"1,000",0.8,<0.1 ,Census 2001 ,
195,Bolivia ,Americas ,"2,000",0,<0.1 ,WRD 2005 ,
196,Brazil ,Americas ,"191,000",0.1,<0.1 ,WRD 2005 ,
197,British Virgin Islands ,Americas ,--,1.2,<0.1 ,WRD 2005 ,
198,Canada ,Americas ,"657,000",2,<0.1 ,Census 2001 ,
199,Cayman Islands ,Americas ,--,0.2,<0.1 ,WRD 2005 ,
200,Chile ,Americas ,"4,000",0,<0.1 ,Census 2002 ,
201,Colombia ,Americas ,"14,000",1,<1 ,WVS 2005 ,
202,Costa Rica ,Americas ,--,1,<1 ,LatinoB 2007 ,
203,Cuba ,Americas ,"9,000",0.1,<0.1 ,WRD 2005 ,
204,Dominica ,Americas ,--,0.1,<0.1 ,WRD 2005 ,
205,Dominican Republic ,Americas ,"2,000",0,<0.1 ,WRD 2005 ,
206,Ecuador ,Americas ,"2,000",0,<0.1 ,WRD 2005 ,
207,El Salvador ,Americas ,"2,000",0,<0.1 ,WRD 2005 ,
208,Falkland Islands (Malvinas) ,Americas ,--,0,--,Census 1972 ,
209,French Guiana ,Americas ,"2,000",0.9,<0.1 ,WRD 2005 ,
210,Greenland ,Americas ,--,0,--,WRD 2005 ,
211,Grenada ,Americas ,--,0.3,<0.1 ,WRD 2005 ,
212,Guadeloupe ,Americas ,"2,000",0.4,<0.1 ,WRD 2005 ,
213,Guatemala ,Americas ,"1,000",0,<0.1 ,WRD 2005 ,
214,Guyana ,Americas ,"55,000",7.2,<0.1 ,Census 2002 ,
215,Haiti ,Americas ,"2,000",0,<0.1 ,Census 2003 ,
216,Honduras ,Americas ,"11,000",0.1,<0.1 ,WRD 2005 ,
217,Jamaica ,Americas ,"1,000",0,<0.1 ,Census 2001 ,
218,Martinique ,Americas ,"1,000",0.2,<0.1 ,WRD 2005 ,
219,Mexico ,Americas ,"110,000",1,<1 ,WVS 1996 ,
220,Montserrat ,Americas ,--,0.1,<0.1 ,Census 1980 ,
221,Netherlands Antilles ,Americas ,--,0.2,<0.1 ,Census 1992 ,
222,Nicaragua ,Americas ,"1,000",0,<0.1 ,WRD 2005 ,
223,Panama ,Americas ,"24,000",0.7,<0.1 ,WRD 2005 ,
224,Paraguay ,Americas ,"1,000",0,<0.1 ,Census 2002 ,
225,Peru ,Americas ,"1,000",0,<0.1 ,WRD 2005 ,
226,Puerto Rico ,Americas ,"1,000",0,<0.1 ,WRD 2005 ,
227,St. Kitts and Nevis ,Americas ,--,0.1,<0.1 ,Census 1991 ,
228,St. Lucia ,Americas ,--,0.1,<0.1 ,Census 2001 ,
229,St. Pierre and Miquelon ,Americas ,--,0.2,<0.1 ,WRD 2005 ,
230,St. Vincent and the Grenadines ,Americas ,"2,000",1.5,<0.1 ,WRD 2005 ,
231,Suriname ,Americas ,"83,000",15.9,<0.1 ,WRD 2005 ,
232,Trinidad and Tobago ,Americas ,"78,000",5.8,<0.1 ,Census 2000 ,
233,Turks and Caicos Islands ,Americas ,--,0,--,Census 1990 ,
234,U.S. Virgin Islands ,Americas ,--,0.1,<0.1 ,WRD 2005 ,
235,United States ,Americas ,"2,454,000",0.8,0.2,Pew Research Center 2007 ,
236,Uruguay ,Americas ,"1,000",0,<0.1 ,WRD 2005 ,
237,Venezuela ,Americas ,"94,000",0.3,<0.1 ,WRD 2005 ,
238,World Total ,,"1,571,198,000",0.2,100.00%,,
